rank,stadium,capacity,region,country,city,images,home_team
177,Docklands Stadium,"53,359",Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Melbourne_Derby_December_2014.jpg/220px-Melbourne_Derby_December_2014.jpg,"Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne"
178,Estádio Municipal João Havelange,"53,350",South America,Brazil,"Uberlândia, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg/220px-Est%C3%A1dio_Parque_do_Sabi%C3%A1.jpg,Uberlânia EC
179,San Mamés,"53,332",Europe,Spain,Bilbao,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg/220px-San_Mames%2C_Bilbao%2C_Euskal_Herria_-_Basque_Country.jpg,Athletic Bilbao
180,Aleppo International Stadium,"53,200",West Asia,Syria,Aleppo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg/220px-Aleppo_International_Stadium%2C_day_view%2C_2009_%281%29.jpg,Al-Ittihad
181,Estadio Nacional,"53,086",South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/220px-Estadio_Nacional_nuevo_07_10_2011.jpg,Peru national football team
182,Huanglong Stadium,"52,672",East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/220px-Hangzhou-yellow-dragon-stad.jpg,Hangzhou FC
183,RAMS Park,"52,652",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Galatasaray_Arena_North-West_Corner.jpg/220px-Galatasaray_Arena_North-West_Corner.jpg,Galatasaray
184,Suncorp Stadium,"52,500",Oceania,Australia,"Brisbane, Queensland",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Suncorpstadium071006a.JPG/220px-Suncorpstadium071006a.JPG,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
185,St. James' Park,"52,405",Europe,England,"Newcastle upon Tyne, North East",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/StJamesParkPanorama.jpg/220px-StJamesParkPanorama.jpg,Newcastle United
186,Kings Park Stadium,"52,000",Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kings_Park_panorama.jpg/220px-Kings_Park_panorama.jpg,"Lamontville Golden Arrows, Cell C Durban Sharks"
187,Newlands Stadium,"51,900",Africa,South Africa,"Cape Town, Western Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Proudly_South_African.jpg/220px-Proudly_South_African.jpg,
188,Hampden Park,"51,866",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/220px-Hampden_Park%2C_January_2023.jpg,"Scotland national football team, Queen's Park"
189,Estadio Monumental de Maturín,"51,796",South America,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/220px-Monumental_de_maturin_3.jpg,Monagas Sport Club
190,Loftus Versfeld Stadium,"51,762",Africa,South Africa,"Pretoria, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/220px-Loftus_Versfeld_Game_Night.JPG,SuperSport United and Vodacom Pretoria Bulls
191,Aviva Stadium,"51,700",Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/220px-Aviva_Stadium_Panoramic.jpg,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team"
192,Guiyang Olympic Sports Centre Stadium,"51,638",East Asia,China,"Guiyang, Guizhou",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/220px-Guiyang_Olympic_Sports_Center.jpg,
193,Hohhot City Stadium,"51,632",East Asia,China,"Hohhot, Inner Mongolia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/220px-Hohhot_City_Stadium.jpg,
194,Rajamangala National Stadium,"51,552",Southeast Asia,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/220px-Rajamangala_Stadium_Panorama.jpg,Thailand national football team
195,Donbass Arena,"51,504",Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Donbass_Arena.jpg/220px-Donbass_Arena.jpg,
196,Estadio Presidente Juan Domingo Perón,"51,389",South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Panoramica_Cilindro.jpg/220px-Panoramica_Cilindro.jpg,Racing Club de Avellaneda
197,İzmir Atatürk Stadyumu,"51,295",West Asia,Turkey,İzmir,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/220px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,"Altay SK, Göztepe AŞ"
198,Stadion Feijenoord,"51,117",Europe,Netherlands,Rotterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/220px-Rotterdam_De_Kuip_1.jpg,Feyenoord
199,Estadio BBVA,"51,000",North America,Mexico,Monterrey,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/220px-Estadio_BBVA.jpg,CF Monterrey
200,Ghadir Stadium,"51,000",West Asia,Iran,Ahvaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/220px-Al-Ghadeer_Stadium.jpg,Foolad FC
201,Estádio José Pinheiro Borda,"50,942",South America,Brazil,Porto Alegre. Rio Grande do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/220px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,SC Internacional
202,Ibrox Stadium,"50,817",Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/220px-Rangers-SM_%281%29.jpg,Rangers FC
203,Shizuoka Stadium,"50,889",East Asia,Japan,"Fukuroi, Shizuoka",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/220px-Ecopa030304.jpg,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs"
204,Ernst-Happel-Stadion,"50,865",Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/220px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria national football team
205,Huntington Bank Stadium,"50,805",North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MNUFCTCF.jpeg/220px-MNUFCTCF.jpeg,Minnesota Golden Gophers football
206,Estadio Cuauhtémoc,"50,754",North America,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/220px-Rampa_norte.jpg,Puebla FC
207,Friends Arena,"50,653",Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/220px-FriendsArena_SwedenSpain.jpg,"Sweden national football team, AIK Fotboll"
208,Ülker Stadyumu,"50,509",West Asia,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/220px-Sukrusaracoglu.jpg,Fenerbahçe
209,Stanford Stadium,"50,424",North America,United States,"Palo Alto, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/220px-2008-1115-006-USC-Stanford-PAN.jpg,
210,Stade Pierre-Mauroy,"50,186",Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/220px-Mauroy_Stadium_Eurobasket_2015.JPG,Lille OSC
211,Stade Roi Baudouin,"50,122",Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/220px-Stade_Roi_Baudouin.JPG,Belgium national football team
212,Shaanxi Province Stadium,"50,100",East Asia,China,"Xi'an, Shaanxi",NO IMAGE,
213,Ajinomoto Stadium,"50,100",East Asia,Japan,"Chofu, Tokyo",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/220px-Ajinomoto_Stadium_2018-13.jpg,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo"
214,Estádio José Alvalade,"50,095",Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alvalade0023.jpg/220px-Alvalade0023.jpg,Sporting CP
215,Estádio do Dragão,"50,033",Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/220px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC Porto
216,Itaipava Arena Fonte Nova,"50,025",South America,Brazil,"Salvador, Bahia",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/220px-Arena_Fonte_Nova_External_View.jpg,EC Bahia
217,Stade Olympique de Sousse,"50,000",Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/220px-Stade_olympique_de_Sousse.jpg,Étoile du Sahel
218,RheinEnergieSTADION,"50,000",Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/220px-FIFA_WM06_Stadion_Koeln.jpg,1. FC Köln
219,Harbin Sports City Centre Stadium,"50,000",East Asia,China,"Harbin, Heilongjiang",NO IMAGE,Harbin Yiteng
220,Greenfield International Stadium,"50,000",South Asia,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/220px-Greenfield_International_Stadium_Kerala.jpg,
221,EMS Stadium,"50,000",South Asia,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/220px-Kozhikode_EMS_Stadium.jpg,"India national football team, Gokulam Kerala FC"
222,KD Singh Babu Stadium,"50,000",South Asia,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/220px-K_D_Singh_Babu_Stadium.jpg,
223,Eden Park,"50,000",Oceania,New Zealand,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/220px-Auckland_EdenPark.jpg,"Auckland Blues, New Zealand Warriors"
224,Estádio 11 de Novembro,"50,000",Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/220px-Football_stadium_%286178263468%29.jpg,"Angola national football team, Primeiro de Agosto, Petro Luanda"
225,Henan Provincial Stadium,"50,000",East Asia,China,"Zhengzhou, Henan",NO IMAGE,
226,Jiangxi Olympic Sports Center,"50,000",East Asia,China,"Nanchang, Jiangxi",NO IMAGE,
227,Max-Morlock-Stadion,"50,000",Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/220px-Frankenstadion_2.JPG,1. FC Nürnberg
228,June 11 Stadium,"50,000",Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/220px-11_June_Stadium_BenTaher.jpg,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC"
229,Xinjiang Sports Centre Stadium,"50,000",East Asia,China,"Urumqi, Xinjiang",NO IMAGE,
230,Kim Il-sung Stadium,"50,000",East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/220px-North_Korea_v_Philippines%2C_8_October_2015_F.png,Pyongyang City Sports Club
231,EDION Stadium Hiroshima,"50,000",East Asia,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/220px-Big_Arch_Stadium_Panorama.jpg,Sanfrecce Hiroshima
232,Pars Shiraz Stadium,"50,000",West Asia,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/220px-Pars_Stadium_Photos_Image_6.jpg,Fajr Sepasi Shiraz FC
233,Stade du 26 mars,"50,000",Africa,Mali,Bamako,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/220px-Stade_du_26-mars.png,Stade Malien
234,Stade Abdoulaye Wade,"50,000",Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Stade_Abdoulaye_Wade.jpg/220px-Stade_Abdoulaye_Wade.jpg,Senegal national football team
235,Sultan Mizan Zainal Abidin Stadium,"50,000",Southeast Asia,Malaysia,Kuala Terengganu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg/220px-Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg,Terengganu FA
236,Estadio Akron,"49,850",North America,Mexico,Guadalajara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Omnilife_Stadium.png/220px-Omnilife_Stadium.png,C.D. Guadalajara
237,Levy Mwanawasa Stadium,"49,800",Africa,Zambia,Lusaka,NO IMAGE,Zesco United
238,Fritz-Walter-Stadion,"49,780",Europe,Germany,Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kaiserslautern_18.JPG/220px-Kaiserslautern_18.JPG,1. FC Kaiserslautern
239,Estadio José Amalfitani,"49,540",South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Argentina_A_vs_Inglaterra_A_02.JPG/220px-Argentina_A_vs_Inglaterra_A_02.JPG,CA Vélez Sársfield
240,Camille Chamoun Sports City Stadium,"49,500",West Asia,Lebanon,Beirut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png/220px-Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC"
241,Miyagi Stadium,"49,133",East Asia,Japan,"Rifu, Miyagi",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/220px-MiyagiStadiumTrackField.jpg,Vegalta Sendai
242,Incheon Munhak Stadium,"49,084",East Asia,South Korea,Incheon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/220px-Munhak_Stadium_Corner.jpg,
243,Heinz-von-Heiden-Arena,"49,000",Europe,Germany,Hanover,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/220px-HDI_Arena%2C_WM_Stadion_2006.jpg,Hannover 96
244,Parc des Princes,"48,712",Europe,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/220px-PSG-Nantes_Parc_des_Princes_05.jpg,Paris Saint-Germain
245,Stadium of Light,"48,707",Europe,England,"Sunderland, Tyne and Wear",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/220px-Stadium_of_Light%2C_Sunderland_afc.jpg,Sunderland AFC
246,Estadio Nacional,"48,665",South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/220px-Adios_Matador.jpg,"Chile national football team, CF Universidad de Chile"
247,Nelson Mandela Bay Stadium,"48,459",Africa,South Africa,"Port Elizabeth, Eastern Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/220px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Chippa United FC
248,Estadio Tomás Adolfo Ducó,"48,314",South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/220px-Estadio_huracan_interior_tribuna_gcba.jpg,CA Huracán
249,Jinnah Sports Stadium,"48,200",South Asia,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/220px-Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan national football team
250,Estadio Libertadores de América,"48,069",South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/220px-Estadio_Libertadores_de_America_2014.JPG,Club Atlético Independiente
251,Free State Stadium,"48,000",Africa,South Africa,"Bloemfontein, Free State",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/220px-Free_State_Stadium1.jpg,"Bloemfontein Celtic, Toyota Cheetahs"
252,Nagai Stadium,"47,816",East Asia,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/220px-Nagai_stadium20040717.jpg,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka"
253,Neo Química Arena,"47,605",South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/220px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians
254,Rogers Centre,"47,568",North America,Canada,"Toronto, Ontario",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/220px-Toronto_-_ON_-_Rogers_Centre2.jpg,"Toronto FC, Toronto Argonauts"
255,Estadio Monumental,"47,347",South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/220px-Estadio_Monumental_2009.jpg,Colo-Colo
256,Stadio Artemio Franchi,"47,282",Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/220px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,ACF Fiorentina
257,Estadio Ciudad de Lanús – Néstor Díaz Pérez,"47,027",South America,Argentina,Lanús,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/220px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,CA Lanús
258,Estadio Metropolitano Roberto Meléndez,"46,788",South America,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/220px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,"Colombia national football team, Atlético Junior"
259,Estádio Olímpico Nilton Santos,"46,831",South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/220px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo FR
260,Itaipava Arena Pernambuco,"46,154",South America,Brazil,"São Lourenço da Mata, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/220px-Panorama_of_Arena_Pernambuco.jpg,Náutico
261,Arena MRV,"46,000",South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/220px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,C Atlético Mineiro
262,Estádio Paulo Constantino,"45,954",South America,Brazil,"Presidente Prudente, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/220px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,Grêmio Prudente
263,Estadio Atanasio Girardot,"45,739",South America,Colombia,Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/220px-Atanasio_Girardot_Stadium.jpg,"Atlético Nacional, Independiente Medellín"
264,Estadio Ramón Sánchez Pizjuán,"45,500",Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/220px-Sevilla2-1Lega20182.jpg,Sevilla FC
265,Adrar Stadium,"45,480",Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/220px-Stade-Adrar2019.png,Hassania Agadir
266,Lukoil Arena,"45,360",Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/220px-Match_veteranov_Spartaka_%2813%29.jpg,Spartak Moscow
267,Grand stade de Marrakech,"45,240",Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/220px-Stade_de_marrakech.jpg,Kawkab Marrakech
268,Mandela National Stadium,"45,202",Africa,Uganda,Kampala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/220px-Mandela_National_Stadium%2C_Uganda.JPG,Uganda national football team
269,Tarczyński Arena Wrocław,"45,105",Europe,Poland,Wrocław,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/220px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,Śląsk Wrocław
270,Kazan Arena,"45,105",Europe,Russia,Kazan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/220px-Poland_v._Colombia_%2842095441565%29.jpg,Rubin Kazan
271,Estadio Inca Garcilaso de la Vega,"45,056",South America,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Estadio_garcilaso_cienciano.jpg/220px-Estadio_garcilaso_cienciano.jpg,"CS Cienciano, Deportivo Garcilaso, Cusco FC"
272,Stadion Gelora Bung Tomo,"45,000",Southeast Asia,Indonesia,"Surabaya, East Java",NO IMAGE,Persebaya Surabaya
273,Stadion Harapan Banga,"45,000",Southeast Asia,Indonesia,"Banda Aceh, Aceh",NO IMAGE,"Persiraja, Aceh United"
274,Estadio General Pablo Rojas,"45,000",South America,Paraguay,Asunción,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/220px-Estadio_General_Pablo_Rojas.jpg,Club Cerro Porteño
