rank,stadium,capacity,region,country,city,images,home_team
275,Stade Mohammed V,"45,000",Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/220px-Stade_Mohamed_V%2C_Casablanca.jpg,"Wydad, Raja"
276,Latakia Sports City Stadium,"45,000",West Asia,Syria,Latakia,NO IMAGE,
277,Zibo Sports Centre Stadium,"45,000",East Asia,China,"Zibo, Shandong",NO IMAGE,
278,Weifang Sports Centre Stadium,"45,000",East Asia,China,"Weifang, Shandong",NO IMAGE,
279,Yantai Sports Park Stadium,"45,000",East Asia,China,"Yantai, Shandong",NO IMAGE,
280,Stadium Tuanku Abdul Rahman,"45,000",Southeast Asia,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/220px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,"ATM FA, Negeri Sembilan"
281,Stade du Complexe sportif de Fès,"45,000",Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/220px-Complexe_sportif_de_F%C3%A8s.jpg,"Wydad de Fès, Maghreb de Fès"
282,Lagos National Stadium,"45,000",Africa,Nigeria,Lagos,NO IMAGE,Nigeria national football team
283,Egyptian Army Stadium,"45,000",Africa,Egypt,Suez,NO IMAGE,
284,Toyota Stadium,"45,000",East Asia,Japan,"Toyota City, Aichi",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/220px-JPNxGEO20180623_%283%29.jpg,"Nagoya Grampus, Toyota Verblitz"
285,Zayed Sports City Stadium,"45,000",West Asia,United Arab Emirates,Abu Dhabi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/220px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,
286,Red Bull Arena,"44,345",Europe,Germany,Leipzig,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/220px-Leipzig_stadium.jpg,RB Leipzig
287,Estádio Governador Alberto Tavares Silva,"44,200",South America,Brazil,Teresina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Est%C3%A1dio_Governador_Alberto_Tavares_Silva.jpg/220px-Est%C3%A1dio_Governador_Alberto_Tavares_Silva.jpg,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC"
288,Estádio Universitário Pedro Pedrossian,"44,200",South America,Brazil,"Campo Grande, Mato Grosso do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/220px-0253l.jpg,"EC Comercial, Operário FC"
289,Ulsan Munsu Football Stadium,"44,102",East Asia,South Korea,Ulsan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/220px-Munsu_20121110_204310_5.jpg,Ulsan Hyundai
290,Arena Pantanal,"44,097",South America,Brazil,"Cuiabá, Mato Grosso",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/220px-Arena_Pantanal.jpg,"Cuiabá, Mixto EC"
291,Arena da Amazônia,"44,000",South America,Brazil,"Manaus, Amazonas",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/220px-Arena_Amaz%C3%B4nia_Manaus.jpg,Nacional FC
292,Suwon World Cup Stadium,"43,959",East Asia,South Korea,Suwon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/220px-20121003_Suwon_vs_Seoul.jpg,Suwon Samsung Bluewings
293,Stadion Utama Riau,"43,923",Southeast Asia,Indonesia,"Pekanbaru, Riau",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/220px-Riau_Main_Stadium_%28cropped%29.JPG,PSPS Pekanbaru
294,Allianz Parque,"43,713",South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/220px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,SE Palmeiras
295,Shandong Provincial Stadium,"43,700",East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/220px-SHANGDONGSPORTS.jpg,
296,Polsat Plus Arena Gdańsk,"43,615",Europe,Poland,Gdańsk,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/220px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,Lechia Gdańsk
297,Estadio Pedro Bidegain,"43,494",South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/220px-Platea_Este_Nuevo_Gasometro_1.jpg,CA San Lorenzo de Almagro
298,Stadion Miejski w Poznaniu,"43,269",Europe,Poland,Poznań,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stadion_Miejski_w_Poznaniu_2013_panorama.jpg/220px-Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,"Lech Poznań, Warta Poznań"
299,Vasil Levski National Stadium,"43,230",Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/220px-Vasil_Levski_National_Stadium_2022.jpg,Bulgaria national football team
300,Estadio Universidad San Marcos,"43,000",South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Vista_estadios_san_marcos.jpg/220px-Vista_estadios_san_marcos.jpg,Deportivo Universidad San Marcos
301,Ullevi,"43,000",Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/220px-Ullevi_stadium%2C_23_june_2018.png,Sweden women's national football team
302,Jinzhou Binhai Sports Centre Stadium,"43,000",East Asia,China,Jinzhou,NO IMAGE,
303,Estadio General Santander,"42,901",South America,Colombia,Cúcuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/220px-Cucuta704.jpg,Cúcuta Deportivo
304,Villa Park,"42,682",Europe,England,"Birmingham, West Midlands",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Villa_Stadion_panorama_2016.jpg/220px-Villa_Stadion_panorama_2016.jpg,Aston Villa
305,Perak Stadium,"42,500",Southeast Asia,Malaysia,Perak,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Perak_Stadium.JPG/220px-Perak_Stadium.JPG,Perak FA
306,Jeonju World Cup Stadium,"42,477",East Asia,South Korea,Jeonju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg/220px-%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk Hyundai Motors FC
307,Ligga Arena,"42,372",South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Arenadabaixada2.jpg/220px-Arenadabaixada2.jpg,Athletico Paranaense
308,Weserstadion,"42,358",Europe,Germany,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Weserstadion_panorama.JPG/220px-Weserstadion_panorama.JPG,SV Werder Bremen
309,Denka Big Swan Stadium,"42,300",East Asia,Japan,"Niigata, Niigata",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bigswan080628.JPG/220px-Bigswan080628.JPG,Albirex Niigata
310,Estadio Olimpico Metropolitano de Mérida,"42,200",South America,Venezuela,Mérida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Metropolitanodemeridacopamerica.jpg/220px-Metropolitanodemeridacopamerica.jpg,Estudiantes de Mérida
311,Daejeon World Cup Stadium,"42,176",East Asia,South Korea,Daejeon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Daejeon_World_Cup_Stadium.JPG/220px-Daejeon_World_Cup_Stadium.JPG,Daejeon Citizen
312,Matmut ATLANTIQUE,"42,115",Europe,France,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/500px_photo_%28165733217%29.jpeg/220px-500px_photo_%28165733217%29.jpeg,FC Girondins de Bordeaux
313,Helsingin Olympiastadion,"42,062",Europe,Finland,Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Olympiastadion_2_2020-08-12.jpg/220px-Olympiastadion_2_2020-08-12.jpg,Finland national football team
314,Estádio Serra Dourada,"42,000",South America,Brazil,"Goiânia, Goiás",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/LeandroMoura_EstadioSerraDourada_Goiania_GO_%2840268265714%29.jpg/220px-LeandroMoura_EstadioSerraDourada_Goiania_GO_%2840268265714%29.jpg,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense"
315,Estadio Deportivo Cali,"42,000",South America,Colombia,Cali,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SportingCali12.png/220px-SportingCali12.png,Deportivo Cali
316,Estadio Modelo Alberto Spencer,"42,000",South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Estadio_Modelo_Lleno_2007_-_panoramio.jpg/220px-Estadio_Modelo_Lleno_2007_-_panoramio.jpg,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club"
317,Estádio do Zimpeto,"42,000",Africa,Mozambique,Maputo,NO IMAGE,Mozambique national football team
318,Chengdu Sports Centre Stadium,"42,000",East Asia,China,"Chengdu, Sichuan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chengdu_Sports_Center.JPG/220px-Chengdu_Sports_Center.JPG,
319,Royal Bafokeng Stadium,"42,000",Africa,South Africa,"Phokeng, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Royal_Bafokeng_Stadium%2C_Phokeng.jpg/220px-Royal_Bafokeng_Stadium%2C_Phokeng.jpg,
320,Estadio Universitario,"42,000",North America,Mexico,San Nicolás de los Garza,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Estadio_Universitario_Concachampions.jpg/220px-Estadio_Universitario_Concachampions.jpg,Tigres de la UANL
321,Estadio Brigadier General Estanislao López,"42,000",South America,Argentina,Santa Fe,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg/220px-Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club Atlético Colón
322,Estadio Marcelo Bielsa,"42,000",South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Estadio_Marcelo_Bielsa.jpg/220px-Estadio_Marcelo_Bielsa.jpg,Newell's Old Boys
323,Stade Geoffroy-Guichard,"41,965",Europe,France,Saint-Étienne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St_Etienne_Stade_Geoffroy_Guichard.jpg/220px-St_Etienne_Stade_Geoffroy_Guichard.jpg,AS Saint-Étienne
324,Vodafone Park,"41,903",Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vodafone_Park_Panorama.jpg/220px-Vodafone_Park_Panorama.jpg,Beşiktaş J.K.
325,Peter Mokaba Stadium,"41,733",Africa,South Africa,Polokwane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Teams_are_warming_up_%284738980575%29.jpg/220px-Teams_are_warming_up_%284738980575%29.jpg,Polokwane City FC
326,Estadio Gigante de Arroyito,"41,654",South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/220px-Estadio_Gigante_de_Arroyito.jpg,Rosario Central
327,Estadio Cachamay,"41,600",South America,Venezuela,Ciudad Guayana,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/220px-CTE_Chamay_Aereo_Cut.jpg,"Atlético Club Mineros de Guayana, AC Minervén FC"
328,Estadio de Liga Deportiva Universitaria,"41,596",South America,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/220px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU
329,Allianz Stadium,"41,507",Europe,Italy,"Turin, Piedmont",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/220px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus FC
330,Sapporo Dome,"41,484",East Asia,Japan,"Sapporo, Hokkaido",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/220px-Sapporo_Dome_001.jpeg,Hokkaido Consadole Sapporo
331,Stamford Bridge,"41,663",Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/220px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,Chelsea
332,Goyang Stadium,"41,311",East Asia,South Korea,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/220px-Goyang_sta_1.JPG,Goyang Zaicro FC
333,Estadio Hernando Siles,"41,143",South America,Bolivia,La Paz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/220px-Hernando_Siles_Stadium_-_La_Paz.jpg,"La Paz FC, Club Bolívar, The Strongest"
334,Bingu National Stadium,"41,100",Africa,Malawi,Lilongwe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/BINGU_NATIONAL_STADIUM.jpg/220px-BINGU_NATIONAL_STADIUM.jpg,"Flames, Big Bullets FC"
335,Mbombela Stadium,"40,929",Africa,South Africa,"Nelspruit, Mpumalanga",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/220px-Mbombela_Stadium_arena.jpg,
336,Estadio José Pachencho Romero,"40,800",South America,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/220px-JPPachenchoRomero-16.jpg,Unión Atlético Maracaibo
337,Stade Nelson Mandela,"40,784",Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/220px-Nelson_Mandela_Stadium.jpg,Algeria national football team
338,Kashima Football Stadium,"40,728",East Asia,Japan,"Kashima, Ibaraki",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/220px-Kashima_Soccer_Stadium_5.jpg,Kashima Antlers
339,Baba Yara Stadium,"40,528",Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/220px-Kumasi924.JPG,"Asante Kotoko, King Faisal Babes"
340,Estádio Major Antônio Couto Pereira,"40,502",South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/220px-Est%C3%A1dio_Couto_Pereira.jpg,Coritiba Foot Ball Club
341,Stage Front Stadium,"40,500",Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/220px-Estadicornellaelprat_1.jpg,RCD Espanyol
342,Estadio Metropolitano de fútbol de Lara,"40,312",South America,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/220px-Estadio_Metropolitano_de_Lara.jpg,Unión Lara
343,Estadio Malvinas Argentinas,"40,268",South America,Argentina,Mendoza,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Estadio_Malvinas_Argentinas_2012.jpg/220px-Estadio_Malvinas_Argentinas_2012.jpg,Godoy Cruz Antonio Tomba
344,Stadion Lukas Enembe,"40,263",Southeast Asia,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/220px-Lukas_Enembe_Stadium.jpg,Persipura Jayapura
345,Gwangju World Cup Stadium,"40,245",East Asia,South Korea,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/220px-Gwangju_World_Cup_Stadium.jpg,Gwangju FC
346,Sân vận động Quốc gia Mỹ Đình,"40,192",Southeast Asia,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/220px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,Vietnam national football team
347,Goodison Park,"40,157",Europe,England,"Liverpool, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/220px-Goodison_Park_August_2022.jpg,Everton FC
348,Estádio Governador João Castelo,"40,149",South America,Brazil,"São Luís, Maranhão",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/220px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC"
349,Stade Miloud-Hadefi,"40,143",Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/220px-Stade_de_Oran.jpg,"Algeria national football team, MC Oran"
350,Estadio Campeón del Siglo,"40,005",South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/220px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,Club Atlético Peñarol
351,Metalist Stadium,"40,003",Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/220px-Metalist_Stadium_Kharkiv.jpg,"FC Metalist Kharkiv, FC Shakhtar Donetsk"
352,Al-Janoub Stadium,"40,000",West Asia,Qatar,Al-Wakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/220px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,
353,Al-Thumama Stadium,"40,000",West Asia,Qatar,Al-Thumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/220px-Al_Thumama_Stadium_%282%29.jpg,
354,Stade Ahmed-Zabana,"40,000",Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/220px-Stade_Ahmed_Zabana_2.jpg,MC Oran
355,Stadion Batakan,"40,000",Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/220px-2017-11-14_Batakan.jpg,Persiba Balikpapan
356,Stadion Gelora Joko Samudro,"40,000",Southeast Asia,Indonesia,"Gresik, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/220px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,Gresik United
357,Fisht Olympic Stadium,"40,000",Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/220px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,
358,Rentschler Field,"40,000",North America,United States,"East Hartford, Connecticut",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/220px-Rentschler_Field_2017.jpg,
359,Jawaharlal Nehru Stadium,"40,000",South Asia,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/220px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,"Kerala Blasters, India national football team"
360,Hang Jebat Stadium,"40,000",Southeast Asia,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/220px-Stadium_Hang_Jebat_015342.jpg,Melaka United
361,Hong Kong Stadium,"40,000",East Asia,Hong Kong,So Kon Po,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/220px-Hong_Kong_Stadium-1.jpg,South China AA
362,Stadium Negeri Pulau Pinang,"40,000",Southeast Asia,Malaysia,Batu Kawan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/220px-Batu_Kawan_Stadium%2CPenang.jpg,Penang FA
363,Accra Sports Stadium,"40,000",Africa,Ghana,Accra,NO IMAGE,"Accra Hearts of Oak SC, Great Olympics"
364,Sarawak Stadium,"40,000",Southeast Asia,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/220px-Stadium_Sarawak.JPG,Sarawak FA
365,Bogyoke Aung San Stadium,"40,000",Southeast Asia,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/220px-Aungsan_Stadium.jpg,Yangon United FC
366,Resonac Dome Ōita,"40,000",East Asia,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/220px-%C5%8Cita_Stadium_2023-03.jpg,Ōita Trinita
367,Stadium Darul Makmur,"40,000",Southeast Asia,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/220px-Stadium_Pahang.jpg,Pahang FA
368,Khalifa International Stadium,"40,000",West Asia,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/220px-Khalifa_International_Stadium.jpg,Qatar national football team
369,Stade de l’Amitié sino-gabonaise,"40,000",Africa,Gabon,Libreville,NO IMAGE,Gabon national football team
370,Peoples Football Stadium,"40,000",South Asia,Pakistan,Karachi,NO IMAGE,"Pakistan national football team, HBL FC"
371,JRD Tata Sports Complex Stadium,"40,000",South Asia,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/220px-J.R.D._Tata_Stadium.jpg,"Jamshedpur FC, Tata Football Academy"
372,Bao'an Stadium,"40,000",East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/220px-Bao%27an_Stadium.jpg,
373,Kunming Tuodong Sports Centre Stadium,"40,000",East Asia,China,"Kunming, Yunnan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/220px-Kunming_07.JPG,China national football team
374,Taizhou Sports Centre Stadium,"40,000",East Asia,China,"Taizhou, Zhejiang",NO IMAGE,
375,Wuhu Olympic Stadium,"40,000",East Asia,China,"Wuhu, Anhui",NO IMAGE,
376,Huizhou Olympic Stadium,"40,000",East Asia,China,"Huizhou, Guangdong",NO IMAGE,
